Booking_ID,Trip_Date,Year,Quarter,Month,Month_Name,Day_Of_Week,Is_Weekend,Carrier,Customer,Vehicle_No,Vehicle_Type_Clean,Vehicle_Category,Origin_City,Origin_State,Destination_City,Destination_State,GPS_Provider,Market_Type,Distance_KM,Planned_Transit_Hours,Actual_Transit_Hours,Delay_Hours,On_Time_Flag,Has_Missing_Distance,Has_Missing_Vehicle_Type
MVCV0000927/082021,2020-08-17,2020,3,8,August,Monday,0,Vijay Transport,Ashok Leyland Limited,KA590408,1 MT Tata Ace (Closed Body),Other,CHENNAI,TAMIL NADU,HOSUR,KARNATAKA,CONSENT TRACK,Market,320.0,100.0,263.6509575,163.6509575,0.0,0,1
VCV00014271/082021,2020-08-27,2020,3,8,August,Thursday,0,Vj Logistics,Daimler India Commercial Vehicles Pvt Lt,TN30BC5917,,Unknown,KANCHIPURAM,TAMIL NADU,KANCHIPURAM,TAMIL NADU,VAMOSYS,Regular,103.0,100.00856305555556,20.406946388888887,-79.60161666666667,1.0,0,1
VCV00014382/082021,2020-08-27,2020,3,8,August,Thursday,0,G.S. Transport,Lucas Tvs Ltd,TN22AR2748,,Unknown,PONDY,PONDICHERRY,PONDY,PONDICHERRY,CONSENT TRACK,Regular,300.0,100.03916305555556,22.1074425,-77.93172055555556,1.0,0,1
VCV00014743/082021,2020-08-28,2020,3,8,August,Friday,0,Arvinth Transport,Daimler India Commercial Vehicles Pvt Lt,TN28AQ0781,,Unknown,KANCHIPURAM,TAMIL NADU,KANCHIPURAM,TAMIL NADU,VAMOSYS,Regular,61.0,100.01097305555557,12.045276944444446,-87.96569611111111,1.0,0,1
VCV00014744/082021,2020-08-28,2020,3,8,August,Friday,0,Sr Transports,Lucas Tvs Ltd,TN68F1722,,Unknown,PONDY,PONDICHERRY,PONDY,PONDICHERRY,VAMOSYS,Regular,240.0,100.15867861111111,13.150590833333334,-87.00808777777777,1.0,0,1
VCV00014749/082021,2020-08-28,2020,3,8,August,Friday,0,Eswar Transport,Daimler India Commercial Vehicles Pvt Lt,TN88A4980,,Unknown,KANCHIPURAM,TAMIL NADU,KANCHIPURAM,TAMIL NADU,VAMOSYS,Regular,70.0,100.01212222222223,11.203153611111112,-88.80896861111111,1.0,0,1
VCV00014750/082021,2020-08-28,2020,3,8,August,Friday,0,Eswar Transport,Daimler India Commercial Vehicles Pvt Lt,TN88C8204,,Unknown,KANCHIPURAM,TAMIL NADU,KANCHIPURAM,TAMIL NADU,VAMOSYS,Regular,931.0,100.01125833333334,15.307355555555556,-84.70390277777777,1.0,0,1
VCV00014812/082021,2020-08-28,2020,3,8,August,Friday,0,Namakkal Sri Anjinaya Transport,Daimler India Commercial Vehicles Pvt Lt,TN88D4133,,Unknown,KANCHIPURAM,TAMIL NADU,KANCHIPURAM,TAMIL NADU,VAMOSYS,Regular,20.0,100.00982694444444,3.452146388888889,-96.55768055555556,1.0,0,1
MVCV0001769/082021,2020-08-28,2020,3,8,August,Friday,0,Vinayaka Roadlines,Ashok Leyland Limited,TN23AM4662,,Unknown,CHENNAI,TAMIL NADU,HOSUR,KARNATAKA,CONSENT TRACK,Market,310.0,100.0,5.3636333333333335,-94.63636666666666,1.0,0,1
VCV00014665/082021,2020-08-27,2020,3,8,August,Thursday,0,Vj Logistics,Daimler India Commercial Vehicles Pvt Lt,TN30BC5982,,Unknown,KANCHIPURAM,TAMIL NADU,KANCHIPURAM,TAMIL NADU,VAMOSYS,Regular,103.0,100.01122972222223,14.3185325,-85.69269722222222,1.0,0,1
VCV00014745/082021,2020-08-28,2020,3,8,August,Friday,0,Namakkal Sri Anjinaya Transport,Daimler India Commercial Vehicles Pvt Lt,TN88D3900,,Unknown,KANCHIPURAM,TAMIL NADU,KANCHIPURAM,TAMIL NADU,VAMOSYS,Regular,3.0,100.0094675,11.250905555555557,-88.75856194444444,1.0,0,1
VCV00014866/082021,2020-08-28,2020,3,8,August,Friday,0,Vijay Transport,Ashok Leyland Limited,KA51C6972,1 MT Tata Ace (Closed Body),Other,HOSUR,KARNATAKA,CHENNAI,TAMIL NADU,CONSENT TRACK,Regular,570.0,100.01074444444444,5.457215833333333,-94.5535286111111,1.0,0,1
VCV00014879/082021,2020-08-28,2020,3,8,August,Friday,0,Krc Logistics,Daimler India Commercial Vehicles Pvt Lt,TN11M3423,,Unknown,KANCHIPURAM,TAMIL NADU,KANCHIPURAM,TAMIL NADU,KRC LOGISTICS,Regular,21.0,100.0096111111111,2.4575897222222225,-97.55202138888889,1.0,0,1
VCV00014872/082021,2020-08-28,2020,3,8,August,Friday,0,Susee Transporter,Daimler India Commercial Vehicles Pvt Lt,TN12C9762,,Unknown,KANCHIPURAM,TAMIL NADU,KANCHIPURAM,TAMIL NADU,VAMOSYS,Regular,15.0,100.01161027777778,2.458313888888889,-97.5532963888889,1.0,0,1
VCV00014554/082021,2020-08-27,2020,3,8,August,Thursday,0,Arvinth Transport,Daimler India Commercial Vehicles Pvt Lt,TN889013,,Unknown,KANCHIPURAM,TAMIL NADU,KANCHIPURAM,TAMIL NADU,VAMOSYS,Regular,103.0,100.01216666666666,16.212538055555555,-83.79962861111112,1.0,0,1
VCV00014571/082021,2020-08-27,2020,3,8,August,Thursday,0,Sr Transports,Lucas Tvs Ltd,TN73AB7106,,Unknown,CHENNAI,TAMIL NADU,PONDY,PONDICHERRY,VAMOSYS,Regular,170.0,100.06545,16.33173972222222,-83.73371027777779,1.0,0,1
VCV00014582/082021,2020-08-27,2020,3,8,August,Thursday,0,Vj Logistics,Daimler India Commercial Vehicles Pvt Lt,TN30BC9252,,Unknown,KANCHIPURAM,TAMIL NADU,KANCHIPURAM,TAMIL NADU,VAMOSYS,Regular,103.0,100.01729444444445,15.817883333333333,-84.19941111111112,1.0,0,1
VCV00014600/082021,2020-08-27,2020,3,8,August,Thursday,0,Sr Transports,Lucas Tvs Ltd,TN32AL1851,,Unknown,PONDY,PONDICHERRY,PONDY,PONDICHERRY,VAMOSYS,Regular,300.0,100.02864083333334,15.729864722222223,-84.29877611111111,1.0,0,1
VCV00014753/082021,2020-08-28,2020,3,8,August,Friday,0,Susee Transporter,Daimler India Commercial Vehicles Pvt Lt,TN12AC0599,,Unknown,KANCHIPURAM,TAMIL NADU,KANCHIPURAM,TAMIL NADU,VAMOSYS,Regular,104.0,100.02835555555556,9.675444444444445,-90.35291111111111,1.0,0,1
VCV00014902/082021,2020-08-28,2020,3,8,August,Friday,0,Eswar Transport,Daimler India Commercial Vehicles Pvt Lt,TN887661,,Unknown,KANCHIPURAM,TAMIL NADU,KANCHIPURAM,TAMIL NADU,VAMOSYS,Regular,3.0,100.00840277777777,1.9258730555555557,-98.08252972222223,1.0,0,1
VCV00015028/082021,2020-08-28,2020,3,8,August,Friday,0,Susee Transporter,Daimler India Commercial Vehicles Pvt Lt,TN85B1588,,Unknown,KANCHIPURAM,TAMIL NADU,KANCHIPURAM,TAMIL NADU,VAMOSYS,Regular,20.0,100.00798527777778,0.7610436111111111,-99.24694166666666,1.0,0,1
VCV00014886/082021,2020-08-28,2020,3,8,August,Friday,0,Vinayaka Roadlines,Ashok Leyland Limited,TN23AZ8289,,Unknown,HOSUR,KARNATAKA,CHENNAI,TAMIL NADU,CONSENT TRACK,Regular,560.0,100.01055083333334,2.3677916666666663,-97.64275916666668,1.0,0,1
VCV00014888/082021,2020-08-28,2020,3,8,August,Friday,0,Amal Transport & Travels,Tractors & Farm Equipment Limited,TN18s3838,,Unknown,KANCHIPURAM,TAMIL NADU,KANCHIPURAM,TAMIL NADU,VAMOSYS,Regular,20.0,100.0140075,2.3927952777777777,-97.62121222222223,1.0,0,1
VCV00014914/082021,2020-08-28,2020,3,8,August,Friday,0,Vj Logistics,Daimler India Commercial Vehicles Pvt Lt,TN30BJ0957,,Unknown,KANCHIPURAM,TAMIL NADU,KANCHIPURAM,TAMIL NADU,VAMOSYS,Regular,21.0,100.01117694444446,1.7964491666666667,-98.21472777777778,1.0,0,1
VCV00014931/082021,2020-08-28,2020,3,8,August,Friday,0,Arvinth Transport,Daimler India Commercial Vehicles Pvt Lt,TN28AQ0975,,Unknown,KANCHIPURAM,TAMIL NADU,KANCHIPURAM,TAMIL NADU,VAMOSYS,Regular,21.0,100.00777222222221,1.8456369444444443,-98.16213527777776,1.0,0,1
VCV00014983/082021,2020-08-28,2020,3,8,August,Friday,0,Namakkal Sri Anjinaya Transport,Daimler India Commercial Vehicles Pvt Lt,TN88D4134,,Unknown,KANCHIPURAM,TAMIL NADU,KANCHIPURAM,TAMIL NADU,VAMOSYS,Regular,20.0,100.01471583333334,1.1290063888888888,-98.88570944444444,1.0,0,1
VCV00014984/082021,2020-08-28,2020,3,8,August,Friday,0,Vj Logistics,Daimler India Commercial Vehicles Pvt Lt,TN30BB1036,,Unknown,KANCHIPURAM,TAMIL NADU,KANCHIPURAM,TAMIL NADU,VAMOSYS,Regular,21.0,100.02219916666667,1.1318202777777777,-98.89037888888889,1.0,0,1
VCV00014991/082021,2020-08-28,2020,3,8,August,Friday,0,Vj Logistics,Daimler India Commercial Vehicles Pvt Lt,TN30BC9320,,Unknown,KANCHIPURAM,TAMIL NADU,KANCHIPURAM,TAMIL NADU,VAMOSYS,Regular,29.0,100.00952222222223,1.419063888888889,-98.59045833333334,1.0,0,1
VCV00015108/082021,2020-08-28,2020,3,8,August,Friday,0,The Gurawalia Transport Co,National Engg.Ind.Ltd.,hr55w0371,,Unknown,JAIPUR,RAJASTHAN,JAIPUR,RAJASTHAN,WABCOTRANS,Regular,50.0,100.04091388888888,1.4994130555555554,-98.54150083333333,1.0,0,1
VCV00011959/082021,2020-08-25,2020,3,8,August,Tuesday,0,Ekta Transport Company,Cummins Technologies India Pvt Ltd,HR47D7760,,Unknown,LUCKNOW,UTTAR PRADESH,SATARA,MAHARASHTRA,EKTA,Regular,1500.0,100.01480833333333,80.99949444444444,-19.01531388888889,1.0,0,1
VCV00012634/082021,2020-08-25,2020,3,8,August,Tuesday,0,Sr Transports,Lucas Tvs Ltd,TN02AP2662,,Unknown,PONDY,PONDICHERRY,PONDY,PONDICHERRY,VAMOSYS,Regular,300.0,100.18219083333334,67.57790083333333,-32.60429,1.0,0,1
VCV00012746/082021,2020-08-25,2020,3,8,August,Tuesday,0,Sr Raja Trans,Daimler India Commercial Vehicles Pvt Lt,TN11AB2839,,Unknown,KANCHIPURAM,TAMIL NADU,KANCHIPURAM,TAMIL NADU,VAMOSYS,Regular,940.0,100.00794527777778,63.85820277777778,-36.1497425,1.0,0,1
VCV00012911/082021,2020-08-26,2020,3,8,August,Wednesday,0,Sr Transports,Lucas Tvs Ltd,PY01BT7752,,Unknown,PONDY,PONDICHERRY,PONDY,PONDICHERRY,VAMOSYS,Regular,300.0,100.03543888888889,53.92573416666667,-46.109704722222226,1.0,0,1
VCV00012946/082021,2020-08-26,2020,3,8,August,Wednesday,0,Arvinth Transport,Daimler India Commercial Vehicles Pvt Lt,TN88D2104,,Unknown,KANCHIPURAM,TAMIL NADU,KANCHIPURAM,TAMIL NADU,VAMOSYS,Regular,585.0,100.01728055555556,50.020495277777776,-49.996785277777775,1.0,0,1
MVCV0001572/082021,2020-08-26,2020,3,8,August,Wednesday,0,A.V.Transports,Ashok Leyland Limited,KA27A4080,,Unknown,CHENNAI,TAMIL NADU,HOSUR,KARNATAKA,CONSENT TRACK,Market,310.0,100.0,49.645716666666665,-50.354283333333335,1.0,0,1
VCV00013052/082021,2020-08-26,2020,3,8,August,Wednesday,0,Ragul Transport,Daimler India Commercial Vehicles Pvt Lt,TN19AL2181,,Unknown,KANCHIPURAM,TAMIL NADU,KANCHIPURAM,TAMIL NADU,VAMOSYS,Regular,3.0,100.00877861111111,48.94358527777778,-51.06519333333333,1.0,0,1
VCV00013197/082021,2020-08-26,2020,3,8,August,Wednesday,0,Arvinth Transport,Daimler India Commercial Vehicles Pvt Lt,TN88A6674,,Unknown,KANCHIPURAM,TAMIL NADU,KANCHIPURAM,TAMIL NADU,VAMOSYS,Regular,585.0,100.01186583333333,46.386674166666666,-53.625191666666666,1.0,0,1
MVCV0001605/082021,2020-08-26,2020,3,8,August,Wednesday,0,Vinayaka Roadlines,Ashok Leyland Limited,TN47AZ4165,,Unknown,CHENNAI,TAMIL NADU,HOSUR,KARNATAKA,CONSENT TRACK,Market,310.0,100.0,43.87967305555556,-56.12032694444444,1.0,0,1
MVCV0001598/082021,2020-08-26,2020,3,8,August,Wednesday,0,Smat Transport,Lucas Tvs Ltd,TN32AR7548,,Unknown,CHENNAI,TAMIL NADU,PONDY,PONDICHERRY,CONSENT TRACK,Market,170.0,100.0,45.07186194444445,-54.92813805555555,1.0,0,1
VCV00013648/082021,2020-08-26,2020,3,8,August,Wednesday,0,Vj Logistics,Daimler India Commercial Vehicles Pvt Lt,TN30BC5982,,Unknown,KANCHIPURAM,TAMIL NADU,KANCHIPURAM,TAMIL NADU,VAMOSYS,Regular,103.0,100.01467305555555,40.00754166666667,-60.007131388888894,1.0,0,1
VCV00013650/082021,2020-08-26,2020,3,8,August,Wednesday,0,Eswar Transport,Daimler India Commercial Vehicles Pvt Lt,TN88D8267,,Unknown,KANCHIPURAM,TAMIL NADU,KANCHIPURAM,TAMIL NADU,VAMOSYS,Regular,940.0,100.01462027777777,44.31340194444444,-55.70121833333333,1.0,0,1
VCV00013716/082021,2020-08-26,2020,3,8,August,Wednesday,0,Arvinth Transport,Daimler India Commercial Vehicles Pvt Lt,TN88A8569,,Unknown,KANCHIPURAM,TAMIL NADU,KANCHIPURAM,TAMIL NADU,VAMOSYS,Regular,20.0,100.01619722222222,38.28842777777778,-61.72776944444445,1.0,0,1
VCV00013890/082021,2020-08-27,2020,3,8,August,Thursday,0,Vinayaka Roadlines,Ashok Leyland Limited,TN23L2017,,Unknown,CHENNAI,TAMIL NADU,HOSUR,KARNATAKA,CONSENT TRACK,Regular,320.0,100.05834083333333,31.400683333333337,-68.6576575,1.0,0,1
VCV00013840/082021,2020-08-27,2020,3,8,August,Thursday,0,Sr Transports,Lucas Tvs Ltd,TN13M3641,,Unknown,PONDY,PONDICHERRY,PONDY,PONDICHERRY,VAMOSYS,Regular,300.0,100.02889527777778,27.011263055555556,-73.01763222222223,1.0,0,1
VCV00013803/082021,2020-08-27,2020,3,8,August,Thursday,0,Eswar Transport,Daimler India Commercial Vehicles Pvt Lt,TN88D1544,,Unknown,KANCHIPURAM,TAMIL NADU,KANCHIPURAM,TAMIL NADU,VAMOSYS,Regular,660.0,100.01308138888889,27.859559166666667,-72.15352222222222,1.0,0,1
VCV00013914/082021,2020-08-27,2020,3,8,August,Thursday,0,Arvinth Transport,Daimler India Commercial Vehicles Pvt Lt,TN88A0823,,Unknown,KANCHIPURAM,TAMIL NADU,KANCHIPURAM,TAMIL NADU,VAMOSYS,Regular,585.0,100.00895361111111,26.49101027777778,-73.51794333333333,1.0,0,1
MVCV0001683/082021,2020-08-27,2020,3,8,August,Thursday,0,Vijay Transport,Ashok Leyland Limited,TN70T5805,1 MT Tata Ace (Closed Body),Other,CHENNAI,TAMIL NADU,HOSUR,KARNATAKA,CONSENT TRACK,Market,320.0,100.0,21.582763888888888,-78.41723611111111,1.0,0,1
VCV00014179/082021,2020-08-27,2020,3,8,August,Thursday,0,Vj Logistics,Daimler India Commercial Vehicles Pvt Lt,TN30BK2605,,Unknown,KANCHIPURAM,TAMIL NADU,KANCHIPURAM,TAMIL NADU,VAMOSYS,Regular,585.0,100.01155361111111,26.27803611111111,-73.7335175,1.0,0,1
VCV00014072/082021,2020-08-27,2020,3,8,August,Thursday,0,Ctc Translogistic Pvt Ltd,Jay Bharat Maruti Limited,HR47C3126,32 FT Single-Axle 7MT - HCV,HCV,GURGAON,HARYANA,AHMEDABAD,GUJARAT,CONSENT TRACK,Regular,950.0,100.02077861111111,22.456830555555555,-77.56394805555556,1.0,0,1
VCV00014639/082021,2020-08-27,2020,3,8,August,Thursday,0,Sr Transports,Lucas Tvs Ltd,TN02AS5679,,Unknown,CHENNAI,TAMIL NADU,PONDY,PONDICHERRY,VAMOSYS,Regular,170.0,100.02524722222222,15.286011111111112,-84.73923611111111,1.0,0,1
VCV00014742/082021,2020-08-28,2020,3,8,August,Friday,0,M.R.Transport,Lucas Tvs Ltd,TN04AE6148,,Unknown,PONDY,PONDICHERRY,PONDY,PONDICHERRY,VAMOSYS,Regular,300.0,100.0203325,15.300241666666667,-84.72009083333333,1.0,0,1
VCV00014116/082021,2020-08-27,2020,3,8,August,Thursday,0,Vj Logistics,Daimler India Commercial Vehicles Pvt Lt,TN30BD0285,32 FT Multi-Axle 14MT - HCV,HCV,KANCHIPURAM,TAMIL NADU,KANCHIPURAM,TAMIL NADU,VAMOSYS,Regular,103.0,100.01361472222221,21.70825361111111,-78.30536111111111,1.0,0,1
VCV00014136/082021,2020-08-27,2020,3,8,August,Thursday,0,New Chennai Royal Transport,Ashok Leyland Limited,TN73F4927,1 MT Tata Ace (Open Body),Other,CHENNAI,TAMIL NADU,HOSUR,KARNATAKA,BEECON,Regular,535.0,100.10014916666667,25.131199166666665,-74.96894999999999,1.0,0,1
VCV00014160/082021,2020-08-27,2020,3,8,August,Thursday,0,Arvinth Transport,Daimler India Commercial Vehicles Pvt Lt,TN88A6656,,Unknown,KANCHIPURAM,TAMIL NADU,KANCHIPURAM,TAMIL NADU,VAMOSYS,Regular,585.0,100.01269916666666,26.3510575,-73.66164166666665,1.0,0,1
VCV00014729/082021,2020-08-27,2020,3,8,August,Thursday,0,Sr Transports,Lucas Tvs Ltd,TN25M8075,,Unknown,PONDY,PONDICHERRY,CHENNAI,TAMIL NADU,CONSENT TRACK,Regular,175.0,100.03764166666667,16.41802416666667,-83.6196175,1.0,0,1
MVCV0001782/082021,2020-08-28,2020,3,8,August,Friday,0,Vinayaka Roadlines,Ashok Leyland Limited,KA591781,,Unknown,CHENNAI,TAMIL NADU,HOSUR,KARNATAKA,CONSENT TRACK,Market,310.0,100.0,3.1333908333333333,-96.86660916666666,1.0,0,1
MVCV0001783/082021,2020-08-28,2020,3,8,August,Friday,0,A.V.Transports,Ashok Leyland Limited,KA432901,,Unknown,CHENNAI,TAMIL NADU,HOSUR,KARNATAKA,CONSENT TRACK,Market,310.0,100.0,3.1037075,-96.8962925,1.0,0,1
VCV00014847/082021,2020-08-28,2020,3,8,August,Friday,0,Archana Transport,Daimler India Commercial Vehicles Pvt Lt,TN73AC6411,,Unknown,KANCHIPURAM,TAMIL NADU,KANCHIPURAM,TAMIL NADU,VAMOSYS,Regular,69.0,100.01322416666667,3.1866138888888886,-96.82661027777779,1.0,0,1
AEIBK2027766,2020-08-27,2020,3,8,August,Thursday,0,Shree Om Transport Company,Ford India Private Limited,HR55W7379,32 FT Single-Axle 7MT - HCV,HCV,Gurgaon,Haryana,Kanchipuram,Tamil Nadu,CONSENT TRACK,Regular,2425.0,99.26083333333334,54.97882305555556,-44.28201027777778,1.0,0,0
AEIBK2027738,2020-08-27,2020,3,8,August,Thursday,0,Ekta Transport Company,Ford India Private Limited,HR47C9143,32 FT Multi-Axle 14MT - HCV,HCV,Ahmedabad,Gujarat,Gurgaon,Haryana,EKTA,Regular,900.0,96.24416666666667,29.788494444444446,-66.45567222222222,1.0,0,0
AEIBK2027618,2020-08-27,2020,3,8,August,Thursday,0,A.V.Transports,Ashok Leyland Limited,KA51AF7596,1 MT Tata Ace (Open Body),Other,Krishnagiri,Tamil Nadu,Tiruvallur,Tamil Nadu,CONSENT TRACK,Regular,365.0,79.71333333333334,21.917535277777777,-57.79579805555555,1.0,0,0
AEIBK2027793,2020-08-27,2020,3,8,August,Thursday,0,Trans Cargo India,Ford India Private Limited,HR38Z1309,32 FT Multi-Axle 14MT - HCV,HCV,Kanchipuram,Tamil Nadu,Ahmedabad,Gujarat,CONSENT TRACK,Regular,1900.0,92.83666666666667,44.93970638888889,-47.89696027777778,1.0,0,0
AEIBK2027741,2020-08-27,2020,3,8,August,Thursday,0,Ekta Travels,Ford India Private Limited,HR55R7405,32 FT Multi-Axle 14MT - HCV,HCV,Ahmedabad,Gujarat,Gurgaon,Haryana,EKTA,Regular,900.0,93.81083333333333,27.346305555555556,-66.46452777777777,1.0,0,0
AEIBK2027697,2020-08-27,2020,3,8,August,Thursday,0,Unknown,Otis Elevator Company (India) Ltd,HR65A1801,32 FT Multi-Axle 14MT - HCV,HCV,Bangalore,Karnataka,Gurgaon,Haryana,CONSENT TRACK,Regular,2230.0,55.2625,26.388392500000002,-28.874107499999997,1.0,0,0
AEIBK2027703,2020-08-27,2020,3,8,August,Thursday,0,Ekta Travels,Ford India Private Limited,HR47C4835,32 FT Multi-Axle 14MT - HCV,HCV,Gurgaon,Haryana,Ahmedabad,Gujarat,EKTA,Regular,1000.0,97.66194444444444,30.910369444444445,-66.751575,1.0,0,0
AEIBK2027723,2020-08-27,2020,3,8,August,Thursday,0,Ekta Transport Company,Ford India Private Limited,HR47C2202,32 FT Multi-Axle 14MT - HCV,HCV,Gurgaon,Haryana,Ahmedabad,Gujarat,EKTA,Regular,1000.0,98.53944444444444,30.580959166666666,-67.95848527777777,1.0,0,0
AEIBK2027593,2020-08-27,2020,3,8,August,Thursday,0,Sree Sairam Logistics,Tvs Srichakra Limited,TN60D8749,24 FT SXL Container,Container,Madurai,Tamil Nadu,Mysore,Karnataka,CONSENT TRACK,Regular,525.0,51.5475,23.119459166666665,-28.428040833333334,1.0,0,0
AEIBK2027719,2020-08-27,2020,3,8,August,Thursday,0,R.Sai Logistics India Pvt.Ltd,Daimler India Commercial Vehicles Pvt Lt,HR55AG0568,32 FT Multi-Axle MXL 18MT,Other,Gurgaon,Haryana,Kanchipuram,Tamil Nadu,CONSENT TRACK,Regular,2400.0,97.86111111111111,46.78179083333333,-51.07932027777778,1.0,0,0
AEIBK2027683,2020-08-27,2020,3,8,August,Thursday,0,Ekta Transport Company,Ford India Private Limited,HR47D1522,32 FT Multi-Axle 14MT - HCV,HCV,Gurgaon,Haryana,Kanchipuram,Tamil Nadu,EKTA,Regular,2425.0,95.50222222222222,53.15283611111111,-42.349386111111116,1.0,0,0
AEIBK2026922,2020-08-27,2020,3,8,August,Thursday,0,Krc Logistics,Brakes India Private Ltd,TN14T6162,32 FT Multi-Axle 14MT - HCV,HCV,Pune,Maharashtra,Tiruvallur,Tamil Nadu,KRC LOGISTICS,Regular,1300.0,-38.014722222222225,38.746448055555554,76.76117027777778,0.0,0,0
AEIBK2027650,2020-08-27,2020,3,8,August,Thursday,0,Ekta Transport Company,Ford India Private Limited,HR47D8350,32 FT Single-Axle 7MT - HCV,HCV,Kanchipuram,Tamil Nadu,Ahmedabad,Gujarat,EKTA,Regular,1900.0,84.99305555555556,45.89779444444444,-39.095261111111114,1.0,0,0
AEIBK2027495,2020-08-27,2020,3,8,August,Thursday,0,Ekta Transport Company,Ford India Private Limited,HR47D8143,32 FT Multi-Axle 14MT - HCV,HCV,Ahmedabad,Gujarat,Kanchipuram,Tamil Nadu,EKTA,Regular,1900.0,79.97916666666667,49.56775833333333,-30.411408333333334,1.0,0,0
AEIBK2027507,2020-08-26,2020,3,8,August,Wednesday,0,Gayathri Transport,Ashok Leyland Limited,TN57AS7483,19 FT OPEN BODY 8 MT,Other,Coimbatore,Tamil Nadu,Krishnagiri,Tamil Nadu,CONSENT TRACK,Regular,400.0,94.96888888888888,41.781010277777774,-53.18787861111112,1.0,0,0
AEIBK2027504,2020-08-26,2020,3,8,August,Wednesday,0,Friends Transport,Ford India Private Limited,TN54K6777,32 FT Multi-Axle 14MT - HCV,HCV,Kanchipuram,Tamil Nadu,Ahmedabad,Gujarat,GARUDA,Regular,1900.0,90.88277777777778,65.33664527777778,-25.546132500000002,1.0,0,0
AEIBK2027580,2020-08-26,2020,3,8,August,Wednesday,0,Friends Transport,Ford India Private Limited,TN54K7999,32 FT Multi-Axle 14MT - HCV,HCV,Kanchipuram,Tamil Nadu,Ahmedabad,Gujarat,GARUDA,Regular,1900.0,93.61916666666667,65.95390916666666,-27.6652575,1.0,0,0
AEIBK2027546,2020-08-26,2020,3,8,August,Wednesday,0,R.Sai Logistics India Pvt.Ltd,Ford India Private Limited,NL01Q4051,32 FT Single-Axle 7MT - HCV,HCV,Gurgaon,Haryana,Kanchipuram,Tamil Nadu,CONSENT TRACK,Regular,2425.0,99.22083333333333,62.431918611111115,-36.78891472222222,1.0,0,0
AEIBK2027488,2020-08-26,2020,3,8,August,Wednesday,0,R.Sai Logistics India Pvt.Ltd,Daimler India Commercial Vehicles Pvt Lt,HR55AG6635,32 FT Multi-Axle MXL 18MT,Other,Gurgaon,Haryana,Kanchipuram,Tamil Nadu,SAILOGISTICS,Regular,2400.0,96.88444444444444,82.04996027777779,-14.834484166666666,1.0,0,0
AEIBK2027406,2020-08-26,2020,3,8,August,Wednesday,0,Ekta Transport Company,Tvs Motor Company Limited,HR47E4662,32 FT Multi-Axle 14MT - HCV,HCV,Krishnagiri,Tamil Nadu,Solan,Himachal Pradesh,EKTA,Regular,2543.0,76.60138888888889,49.274594444444446,-27.326794444444445,1.0,0,0
AEIBK2027494,2020-08-26,2020,3,8,August,Wednesday,0,Trans Cargo India,Ford India Private Limited,HR38W1446,32 FT Multi-Axle 14MT - HCV,HCV,Gurgaon,Haryana,Kanchipuram,Tamil Nadu,CONSENT TRACK,Regular,2425.0,97.6925,69.15625083333333,-28.536249166666668,1.0,0,0
AEIBK2027452,2020-08-26,2020,3,8,August,Wednesday,0,Unknown,Ford India Private Limited,HR47C6819,32 FT Multi-Axle 14MT - HCV,HCV,Gurgaon,Haryana,Kanchipuram,Tamil Nadu,EKTA,Regular,2425.0,98.91638888888889,63.796055555555554,-35.120333333333335,1.0,0,0
AEIBK2027461,2020-08-26,2020,3,8,August,Wednesday,0,Oms Logistics Pvt Ltd,Tvs Motor Company Limited,NL01AE3514,32 FT Multi-Axle 14MT - HCV,HCV,Pune,Maharashtra,Krishnagiri,Tamil Nadu,CONSENT TRACK,Regular,980.0,96.46805555555555,46.494225,-49.97383055555556,1.0,0,0
AEIBK2027456,2020-08-26,2020,3,8,August,Wednesday,0,Apace Transco Pvt. Ltd.,Ford India Private Limited,NL02L7745,32 FT Multi-Axle 14MT - HCV,HCV,Gurgaon,Haryana,Ahmedabad,Gujarat,APACE_TRANSCO,Regular,1000.0,98.58944444444444,49.81153805555556,-48.77790638888889,1.0,0,0
AEIBK2027451,2020-08-26,2020,3,8,August,Wednesday,0,Sree Sakthi Transport,Tvs Motor Company Limited,KA51AC7656,17 FT Container,Container,Pune,Maharashtra,Krishnagiri,Tamil Nadu,CONSENT TRACK,Regular,980.0,99.11666666666666,49.85474166666667,-49.261925,1.0,0,0
AEIBK2027485,2020-08-25,2020,3,8,August,Tuesday,0,Eastern Transport Agency,Ericsson India Private Limited,NL01AD1318,32 FT Single-Axle 7MT - HCV,HCV,Pune,Maharashtra,Tiruvallur,Tamil Nadu,NUEVASTECH,Regular,1275.0,118.65083333333334,68.63181944444445,-50.01901388888889,1.0,0,0
AEIBK2027326,2020-08-25,2020,3,8,August,Tuesday,0,Subham Expressways Llp,Tvs Srichakra Limited,TN28AP6935,24 FT SXL Container,Container,Madurai,Tamil Nadu,Mysore,Karnataka,CONSENT TRACK,Regular,525.0,92.46,64.03411750000001,-28.4258825,1.0,0,0
AEIBK2027286,2020-08-26,2020,3,8,August,Wednesday,0,Ekta Transport Company,Ford India Private Limited,HR47C6031,32 FT Single-Axle 7MT - HCV,HCV,Ahmedabad,Gujarat,Gurgaon,Haryana,EKTA,Regular,900.0,78.61305555555556,53.026780555555554,-25.586275,1.0,0,0
